title,tmdb_id,tmdb_title,year,genre_ids,original_language,popularity,vote_count,vote_average,budget,revenue,runtime,production_company_id,minhas_notas
E.T. the Extra-Terrestrial,601,E.T. the Extra-Terrestrial,1982,"[878, 12, 10751, 14]",en,7.445,11320,7.5,10500000,792965500,115,33.0,3.0
A Hero,672208,A Hero,2021,[18],fa,3.829,334,7.34,0,0,127,5162.0,4.0
Metamorphosis,553326,Metamorphosis,1975,[35],fr,0.001,0,0.0,0,0,11,,0.5
Red Rocket,763329,Red Rocket,2021,"[18, 35]",en,4.552,517,6.8,1100000,2200000,130,7493.0,4.0
Flee,680813,Flee,2021,"[99, 16]",da,3.585,361,7.8,3400000,712229,89,29062.0,4.0
West Side Story,511809,West Side Story,2021,"[18, 10749, 80]",en,4.112,1591,6.981,100000000,76016171,156,127928.0,4.0
Turning Red,508947,Turning Red,2022,"[16, 10751, 35, 14]",en,10.248,5344,7.35,175000000,21328962,100,2.0,3.0
Scream,646385,Scream,2022,"[27, 9648]",en,10.127,3399,6.7,24000000,137743924,114,4.0,3.0
Spider-Man: No Way Home,634649,Spider-Man: No Way Home,2021,"[28, 12, 878]",en,24.389,20571,7.949,200000000,1921847111,148,420.0,3.0
House of Gucci,644495,House of Gucci,2021,"[36, 18, 80]",en,4.967,3167,6.592,75000000,153235995,158,21.0,2.0
50/50,40807,50/50,2011,"[35, 18]",en,4.4,3817,7.2,8000000,39187783,100,771.0,3.5
Raging Bull,1578,Raging Bull,1980,[18],en,4.33,4379,7.9,18000000,23380203,129,60.0,4.0
The Hitchhiker's Guide to the Galaxy,7453,The Hitchhiker's Guide to the Galaxy,2005,"[12, 35, 878]",en,4.427,3912,6.7,50000000,104500000,109,158.0,2.5
Wanted,8909,Wanted,2008,"[28, 53, 80]",en,6.332,7150,6.524,75000000,342463063,110,2526.0,3.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"[35, 10752]",en,5.701,5709,8.1,1800000,9500000,95,88.0,4.0
Nightmare Alley,597208,Nightmare Alley,2021,"[80, 18, 53]",en,4.84,2985,6.982,60000000,39629195,150,127929.0,3.0
The Great Dictator,914,The Great Dictator,1940,"[35, 10752]",en,4.468,3421,8.301,2000000,11000000,125,1315.0,3.0
Mr. Thank You,100033,Mr. Thank You,1936,"[18, 35]",ja,1.407,37,7.0,0,0,76,192.0,3.5
3-Iron,1280,3-Iron,2004,"[18, 10749, 80]",ko,3.93,1159,7.8,0,3403957,88,684.0,2.5
Infernal Affairs,10775,Infernal Affairs,2002,"[18, 28, 53, 80, 9648]",cn,4.636,1675,7.816,6400000,8836958,100,5552.0,4.0
Parallel Mothers,766798,Parallel Mothers,2021,[18],es,4.168,947,6.829,0,23099858,123,49.0,3.0
The Departed,1422,The Departed,2006,"[18, 53, 80]",en,8.857,15145,8.159,90000000,291465000,151,174.0,3.5
Taxi Driver,103,Taxi Driver,1976,"[80, 18]",en,8.692,12476,8.1,1900000,28579636,114,46059.0,3.0
The Bad Guys,629542,The Bad Guys,2022,"[10751, 16, 12, 35, 80]",en,7.244,2123,7.544,80000000,250162278,100,521.0,3.5
Fargo,275,Fargo,1996,"[80, 18, 53]",en,6.985,8239,7.858,7000000,60611975,98,1382.0,4.0
Marley & Me,14306,Marley & Me,2008,"[35, 10751]",en,5.39,4600,7.193,60000000,255700000,115,5219.0,3.0
Flags of Our Fathers,3683,Flags of Our Fathers,2006,"[10752, 18, 36]",en,3.828,1868,6.9,90000000,65900249,135,7.0,3.5
Petite Maman,749004,Petite Maman,2021,"[18, 14, 10751]",fr,3.907,396,7.12,3100000,1024575,72,104.0,4.5
Letters from Iwo Jima,1251,Letters from Iwo Jima,2006,"[28, 18, 10752]",en,4.35,2089,7.473,19000000,68673228,141,174.0,4.5
The Big Lebowski,115,The Big Lebowski,1998,"[35, 80]",en,7.019,11359,7.8,15000000,47010480,117,1382.0,4.0
The Seventh Seal,490,The Seventh Seal,1957,"[14, 18]",sv,4.489,3048,8.185,150000,311212,96,6181.0,4.5
One Night in Miami...,661914,One Night in Miami...,2020,[18],en,3.605,645,7.009,0,0,114,15159.0,4.5
A Fistful of Dollars,391,A Fistful of Dollars,1964,[37],it,6.525,4324,7.8,200000,14500000,99,10481.0,4.0
For a Few Dollars More,938,For a Few Dollars More,1965,[37],it,8.403,4060,8.016,600000,15000000,132,7508.0,3.5
One Flew Over the Cuckoo's Nest,510,One Flew Over the Cuckoo's Nest,1975,[18],en,8.256,10636,8.414,3000000,108981275,133,286.0,4.5
"The Good, the Bad and the Ugly",429,"The Good, the Bad and the Ugly",1966,[37],it,11.713,8846,8.462,1200000,38900000,161,60.0,3.5
The Lure,375742,The Lure,2015,"[27, 10402, 10749, 18, 14, 53]",pl,3.622,257,6.3,1300000,102986,93,37659.0,1.0
The Last Picture Show,25188,The Last Picture Show,1971,"[18, 10749]",en,3.895,700,7.7,1300000,29133000,119,15266.0,1.0
10 Cloverfield Lane,333371,10 Cloverfield Lane,2016,"[53, 878, 18, 27]",en,6.277,8039,6.992,15000000,110216998,104,11461.0,3.5
The Northman,639933,The Northman,2022,"[28, 12, 14]",en,6.682,4456,7.048,70000000,69633110,137,10146.0,4.0
How to Train Your Dragon,10191,How to Train Your Dragon,2010,"[14, 12, 16, 10751]",en,13.314,13273,7.835,165000000,494879471,98,521.0,4.0
How to Train Your Dragon 2,82702,How to Train Your Dragon 2,2014,"[14, 28, 12, 16, 35, 10751]",en,11.924,9734,7.7,145000000,621537519,102,521.0,3.5
How to Train Your Dragon: The Hidden World,166428,How to Train Your Dragon: The Hidden World,2019,"[16, 10751, 12]",en,10.51,6526,7.748,129000000,524580592,104,521.0,3.0
War of the Worlds,74,War of the Worlds,2005,"[12, 53, 878]",en,8.607,8496,6.514,132000000,603873119,117,4.0,3.0
The Unbearable Weight of Massive Talent,648579,The Unbearable Weight of Massive Talent,2022,"[28, 35, 80]",en,4.072,2095,6.792,30000000,29116320,107,831.0,3.5
Au Revoir les Enfants,1786,Au Revoir les Enfants,1987,"[18, 10752]",fr,3.942,664,7.505,0,4542825,105,310.0,3.5
Homunculus,741434,Homunculus,2021,"[18, 53]",ja,3.625,112,6.0,0,0,119,17828.0,0.5
The Salesman,375315,The Salesman,2016,"[18, 53]",fa,3.948,872,7.245,0,6953604,125,5162.0,2.0
Amores Perros,55,Amores Perros,2000,"[18, 53]",es,3.897,2651,7.627,2000000,20908467,154,5084.0,3.5
Belladonna of Sadness,64847,Belladonna of Sadness,1973,"[16, 18, 14]",ja,3.851,319,7.34,0,0,86,1598.0,2.5
Mulholland Drive,1018,Mulholland Drive,2001,"[53, 18, 9648]",en,9.172,6405,7.806,15000000,20289986,147,694.0,1.5
Crimes of the Future,819876,Crimes of the Future,2022,"[878, 27]",en,4.299,1115,6.052,27000000,4551565,107,805.0,2.5
Catch Me If You Can,640,Catch Me If You Can,2002,"[18, 80]",en,12.11,15908,8.0,52000000,352114312,141,11084.0,4.0
The Virgin Suicides,1443,The Virgin Suicides,1999,[18],en,5.46,3323,7.1,6000000,10409377,97,70.0,3.5
Prisoners,146233,Prisoners,2013,"[18, 53, 80]",en,12.614,12020,8.1,46000000,122126687,153,1088.0,3.0
RRR,579974,RRR,2022,"[28, 12, 18]",te,7.523,1366,7.7,69000000,160000000,185,68594.0,4.5
Eternal Sunshine of the Spotless Mind,38,Eternal Sunshine of the Spotless Mind,2004,"[878, 18, 10749]",en,16.874,15254,8.093,20000000,72258126,108,10146.0,4.5
Day Shift,755566,Day Shift,2022,"[28, 14, 27, 35, 53]",en,4.677,2001,6.8,0,0,113,23008.0,3.0
Prey,766507,Prey,2022,"[53, 28, 878]",en,9.534,6891,7.696,65000000,0,100,127928.0,3.5
Hiroshima Mon Amour,5544,Hiroshima Mon Amour,1959,"[18, 36, 10749]",fr,3.574,826,7.7,0,3193,92,6116.0,4.0
1987: When the Day Comes,437103,1987: When the Day Comes,2017,"[18, 36, 53]",ko,3.577,154,8.1,12308000,49380115,129,7036.0,3.5
Happy Together,18329,Happy Together,1997,"[18, 10749]",cn,4.795,702,7.5,125000,5000000,96,540.0,4.0
The Thing,1091,The Thing,1982,"[27, 9648, 878]",en,8.036,7167,8.1,15000000,19629760,109,33.0,4.0
Argentina 1985,714888,Argentina 1985,2022,"[18, 36, 80]",es,3.867,648,7.86,20000000,58424000,141,16948.0,4.5
Lola,2264,Lola,1981,"[18, 10749]",de,3.566,118,7.0,0,0,113,29165.0,3.0
Stray Dog,30368,Stray Dog,1949,"[80, 18, 53, 9648]",ja,3.857,312,7.5,0,47005,122,5043.0,3.5
Pickpocket,690,Pickpocket,1959,"[80, 18]",fr,3.578,520,7.276,0,0,75,12243.0,3.0
Repulsion,11481,Repulsion,1965,"[18, 53, 27]",en,3.861,1012,7.405,300000,0,105,1361.0,2.5
Don't Worry Darling,619730,Don't Worry Darling,2022,"[9648, 53]",en,4.875,2585,6.8,35000000,86700000,123,829.0,1.0
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",44012,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,[18],fr,3.893,319,7.4,120000,0,202,10645.0,3.5
Mishima: A Life in Four Chapters,27064,Mishima: A Life in Four Chapters,1985,[18],en,4.555,289,7.8,5000000,502758,121,1.0,4.5
"4 Months, 3 Weeks and 2 Days",2009,"4 Months, 3 Weeks and 2 Days",2007,[18],ro,3.587,740,7.5,852510,1185783,114,859.0,4.0
An Angel at My Table,2891,An Angel at My Table,1990,[18],en,3.616,164,7.0,0,0,158,1253.0,1.0
A Brighter Summer Day,15804,A Brighter Summer Day,1991,"[80, 18, 10749]",zh,3.984,333,8.3,0,0,237,70884.0,4.5
Secret Sunshine,2015,Secret Sunshine,2007,[18],ko,3.598,211,7.2,2900000,11581469,143,868.0,2.0
Still Walking,25050,Still Walking,2008,"[18, 10751]",ja,3.873,383,7.8,0,3511120,114,9177.0,4.0
Shoplifters,505192,Shoplifters,2018,"[18, 80, 53]",ja,4.655,2090,7.9,0,0,120,3341.0,4.5
Broker,736732,Broker,2022,"[18, 35, 80]",ko,3.783,472,7.164,0,18632208,129,85150.0,2.0
Nobody Knows,2517,Nobody Knows,2004,[18],ja,4.172,541,7.973,0,0,141,1141.0,4.0
The Terminal,594,The Terminal,2004,"[35, 18]",en,5.215,8024,7.346,60000000,219417255,128,7.0,3.5
Titane,630240,Titane,2021,"[18, 53, 27]",fr,4.339,1489,6.4,6600000,4982335,108,49934.0,4.0
C'mon C'mon,632617,C'mon C'mon,2021,[18],en,4.307,690,7.213,8300000,4300000,109,41077.0,4.0
American History X,73,American History X,1998,[18],en,5.93,11748,8.3,20000000,23900000,119,12.0,3.5
Sympathy for Mr. Vengeance,4689,Sympathy for Mr. Vengeance,2002,"[28, 18, 53]",ko,3.595,1478,7.5,4000000,1954937,129,7036.0,4.5
Lady Vengeance,4550,Lady Vengeance,2005,"[18, 53]",ko,4.178,1705,7.5,0,23803308,115,1689.0,4.5
Three Thousand Years of Longing,556694,Three Thousand Years of Longing,2022,"[18, 14, 10749]",en,4.229,1399,6.9,60000000,20300000,108,7493.0,3.5
Burning,813106,Burning,2018,[],hi,0.196,3,6.3,0,0,18,151969.0,2.0
American Beauty,14,American Beauty,1999,[18],en,6.622,12222,8.008,15000000,356296601,122,7.0,1.5
Respect,592863,Respect,2021,"[18, 10402, 36]",en,3.624,428,6.8,55000000,31217372,145,21.0,1.0
The Amazing Spider-Man,1930,The Amazing Spider-Man,2012,"[28, 12, 878]",en,10.768,17565,6.709,215000000,757930663,136,7505.0,1.5
Fear Street: 1978,591274,Fear Street: 1978,2021,"[27, 9648]",en,4.283,1965,7.2,0,0,111,7076.0,1.5
Fear Street: 1994,591273,Fear Street: 1994,2021,"[27, 9648]",en,4.219,2345,6.7,0,0,108,7076.0,1.5
The Tender Bar,727293,The Tender Bar,2021,[18],en,3.566,552,6.6,0,0,104,20580.0,0.5
Joint Security Area,2440,Joint Security Area,2000,"[10752, 18, 53, 9648]",ko,4.195,729,7.8,12500000,0,108,7036.0,4.0
After Life,17962,After Life,1998,"[14, 18]",ja,3.553,239,7.2,0,0,118,1141.0,3.5
Thirst,22536,Thirst,2009,"[18, 27, 53]",ko,3.664,959,7.1,5000000,13085023,134,34725.0,4.0
All Quiet on the Western Front,49046,All Quiet on the Western Front,2022,"[10752, 36, 18]",de,8.04,4065,7.7,20000000,0,147,36616.0,3.5
Puss in Boots: The Last Wish,315162,Puss in Boots: The Last Wish,2022,"[16, 12, 14, 35, 10751]",en,20.181,8043,8.218,90000000,484700000,103,521.0,4.5
Aftersun,965150,Aftersun,2022,[18],en,6.651,1502,7.66,0,7834405,101,103697.0,4.5
Poetry,47909,Poetry,2010,[18],ko,3.572,307,7.6,0,349899,139,6596.0,2.5
"I'm a Cyborg, But That's OK",5488,"I'm a Cyborg, But That's OK",2006,"[18, 35, 10749]",ko,3.564,531,7.01,0,4354510,105,34725.0,4.5
Stoker,86825,Stoker,2013,"[18, 27, 53]",en,3.958,2255,6.6,12000000,12077441,99,43.0,4.0
Mulan,10674,Mulan,1998,"[16, 10751, 12]",en,13.995,9838,7.904,90000000,304320254,88,2.0,3.5
The Quiet Girl,916405,The Quiet Girl,2022,[18],ga,3.834,434,7.5,1,6,94,175380.0,3.5
Okja,387426,Okja,2017,"[12, 18, 878]",en,4.735,4297,7.355,50000000,0,122,81024.0,3.5
The Host,1255,The Host,2006,"[27, 18, 878]",ko,5.617,2831,7.0,11000000,88489643,120,79498.0,3.0
Mother,698885,Mother,2009,[99],en,0.231,2,8.0,0,0,20,,2.5
We're All Going to the World's Fair,776501,We're All Going to the World's Fair,2021,"[18, 27]",en,3.823,117,5.3,0,96206,86,145663.0,3.0
20th Century Girl,851644,20th Century Girl,2022,"[10749, 18]",ko,13.531,720,8.2,119,0,119,49096.0,2.0
Happening,793998,Happening,2021,[18],fr,4.451,435,7.239,0,171765,100,591.0,4.5
Nanny,843932,Nanny,2022,"[18, 27]",en,3.582,194,5.2,0,0,98,156239.0,4.5
The Help,50014,The Help,2011,[18],en,11.005,8440,8.207,25000000,216600000,146,436.0,3.0
Entergalactic,1027014,Entergalactic,2022,"[16, 10749, 10402]",en,3.763,383,7.7,0,0,93,114690.0,4.0
Inu-Oh,642538,Inu-Oh,2021,"[16, 18, 10402, 14, 36]",ja,4.069,126,7.333,0,897000,99,99494.0,4.0
Frances Ha,121986,Frances Ha,2012,"[35, 18]",en,3.59,1653,7.4,0,4069826,86,258.0,4.0
Space Is the Place,16203,Space Is the Place,1974,"[878, 10402]",en,1.419,40,5.8,0,0,82,54446.0,4.0
Roma,426426,Roma,2018,[18],es,3.995,3928,7.644,15000000,1140769,135,6735.0,1.0
Mars One,913816,Mars One,2022,[18],pt,2.926,82,7.4,0,0,115,37098.0,4.5
Mister Johnson,123772,Mister Johnson,1990,[18],en,1.047,29,6.3,0,0,101,,0.5
The Girls,135337,The Girls,1968,"[35, 18]",sv,0.806,22,6.1,0,0,100,1728.0,4.0
Before Sunrise,76,Before Sunrise,1995,"[18, 10749]",en,4.3,4229,7.968,2500000,5987386,101,97.0,2.0
The Daytrippers,49806,The Daytrippers,1996,"[35, 18]",en,3.104,87,6.5,600000,2099677,87,41248.0,2.5
Dragon Inn,104237,Dragon Inn,1967,"[28, 12]",zh,3.551,123,7.3,0,0,111,14102.0,4.0
House,25623,House,1977,"[35, 14, 27]",ja,3.732,674,7.3,0,0,88,70472.0,4.5
Parasite,496243,Parasite,2019,"[35, 53, 18]",ko,22.633,18768,8.5,11363000,257591776,133,4399.0,3.5
Free Guy,550988,Free Guy,2021,"[35, 12, 878]",en,7.055,8974,7.5,110000000,331526598,115,27711.0,0.5
Boyz n the Hood,650,Boyz n the Hood,1991,"[80, 18]",en,5.824,2027,7.623,6500000,57504069,112,5.0,4.0
A Tale of Two Sisters,4552,A Tale of Two Sisters,2003,"[18, 27, 9648]",ko,5.129,1200,7.1,15100000,1100000,115,3616.0,3.0
Time,653729,Time,2020,[99],en,3.56,109,6.803,0,0,81,125345.0,3.0
Saint Omer,925943,Saint Omer,2022,"[18, 80]",fr,3.566,176,6.2,0,823074,123,101932.0,4.5
I Saw the Devil,49797,I Saw the Devil,2010,"[53, 27]",ko,4.62,2671,7.794,6000000,12966357,144,10922.0,2.0
The Kid,10098,The Kid,1921,"[35, 18]",en,4.125,2144,8.162,250000,2500000,68,1315.0,3.5
Watermelon Man,42600,Watermelon Man,1970,[35],en,1.85,52,6.4,0,1100000,100,94728.0,4.0
City Lights,901,City Lights,1931,"[35, 18, 10749]",en,3.963,2217,8.274,1500000,4250000,87,1315.0,4.0
Ratatouille,2062,Ratatouille,2007,"[16, 35, 10751, 14]",en,18.965,17330,7.825,150000000,623726000,111,3.0,4.5
Spider-Man: Into the Spider-Verse,324857,Spider-Man: Into the Spider-Verse,2018,"[16, 28, 12, 878]",en,16.5,15954,8.396,90000000,384298736,117,5.0,4.5
Bacurau,446159,Bacurau,2019,"[9648, 37, 53]",pt,3.626,1061,7.678,1430000,3554178,131,53727.0,3.5
Jojo Rabbit,515001,Jojo Rabbit,2019,"[35, 10752, 18]",en,6.601,9703,8.0,14000000,82468705,108,43.0,3.5
My Dinner with Andre,25468,My Dinner with Andre,1981,[18],en,3.556,404,7.488,475000,5250000,110,55642.0,4.5
The Innocents,660942,The Innocents,2021,"[27, 18, 14]",no,3.603,618,6.914,3400000,322000,117,21979.0,0.5
The Housemaid,42506,The Housemaid,2010,"[80, 18]",ko,3.559,174,7.1,0,0,112,80020.0,3.0
Forrest Gump,13,Forrest Gump,1994,"[35, 18, 10749]",en,16.611,27933,8.468,55000000,677387716,142,4.0,3.5
Back to the Future,105,Back to the Future,1985,"[12, 35, 878]",en,15.656,20308,8.3,19000000,381109762,116,33.0,3.0
Back to the Future Part II,165,Back to the Future Part II,1989,"[12, 35, 878]",en,5.701,12976,7.767,40000000,332000000,108,33.0,3.0
Back to the Future Part III,196,Back to the Future Part III,1990,"[12, 35, 878]",en,5.117,10693,7.5,40000000,244527583,119,33.0,2.5
The Polar Express,5255,The Polar Express,2004,"[16, 12, 10751, 14]",en,5.713,6442,6.721,165000000,318432432,100,1867.0,2.5
Decision to Leave,705996,Decision to Leave,2022,"[53, 9648, 10749]",ko,6.727,1255,7.3,0,16914773,138,34725.0,5.0
Gone Girl,210577,Gone Girl,2014,"[9648, 53, 18]",en,13.852,18860,7.9,61000000,370890259,149,25.0,4.0
Licorice Pizza,718032,Licorice Pizza,2021,"[18, 35, 10749]",en,4.457,2307,7.0,40000000,33276075,133,21.0,3.0
The Cabinet of Dr. Caligari,234,The Cabinet of Dr. Caligari,1920,"[18, 27, 53, 80]",de,3.936,1623,7.915,18000,8811,67,55.0,2.5
Grindhouse,285923,Grindhouse,2007,"[53, 28, 27]",en,3.809,1725,7.0,67000000,25422088,191,6869.0,2.5
Planet Terror,1992,Planet Terror,2007,"[27, 28, 53]",en,4.194,3540,6.675,0,0,105,7405.0,2.0
Death Proof,1991,Death Proof,2007,"[28, 53]",en,4.464,5229,6.8,25000000,31126421,113,7405.0,2.5
Hamilton,556574,Hamilton,2020,"[36, 18]",en,5.183,1455,8.166,0,0,160,89394.0,1.0
Mad God,846867,Mad God,2021,"[16, 14, 27, 878, 10752]",en,3.602,430,6.852,250000,322619,84,18616.0,3.0
All the Bright Places,342470,All the Bright Places,2020,"[10749, 18]",en,4.61,2895,7.6,0,0,108,2147.0,1.5
To All the Boys: P.S. I Still Love You,565426,To All the Boys: P.S. I Still Love You,2020,"[10749, 35]",en,5.185,2584,6.8,0,0,102,63484.0,2.0
Baywatch,339846,Baywatch,2017,"[35, 28, 80]",en,8.953,8129,6.091,69000000,177900000,116,90835.0,1.0
Comrade Kim Goes Flying,127885,Comrade Kim Goes Flying,2012,"[35, 12, 10749]",ko,0.414,9,6.2,1200000,0,77,92731.0,3.0
Jack and Jill,71880,Jack and Jill,2011,"[35, 10751]",en,4.257,2116,4.371,79000000,149700000,91,8000.0,1.0
The Hunger Games,70160,The Hunger Games,2012,"[878, 12, 14]",en,5.777,22199,7.2,75000000,694394724,142,1632.0,0.5
Tooth Fairy,23023,Tooth Fairy,2010,"[35, 10751, 14]",en,3.951,1995,5.5,48000000,112462508,101,444.0,1.5
Project X,57214,Project X,2012,[35],en,11.338,6435,6.881,12000000,102731865,88,1885.0,0.5
Scary Movie 4,4257,Scary Movie 4,2006,[35],en,6.079,3302,5.481,45000000,178262620,83,7405.0,2.0
Scary Movie,4247,Scary Movie,2000,[35],en,8.916,7098,6.363,19000000,278019771,88,10958.0,1.0
The Smiling Madame Beudet,49452,The Smiling Madame Beudet,1923,[18],fr,2.871,81,5.9,0,0,43,8996.0,3.0
Black Girl,95597,Black Girl,1966,[18],fr,3.551,149,7.309,0,0,65,68399.0,3.0
Ethnic Notions,147322,Ethnic Notions,1986,[99],en,0.536,14,7.1,0,0,57,92711.0,3.0
Black Panthers,144597,Black Panthers,1968,[99],fr,2.936,83,7.2,0,0,28,14683.0,2.0
Natural Born Killers,241,Natural Born Killers,1994,"[80, 53, 18]",en,4.348,3457,7.06,34000000,50283563,118,68551.0,1.5
Beau Travail,14626,Beau Travail,1999,[18],fr,3.877,310,7.0,0,0,93,75482.0,2.5
Herbie Fully Loaded,11451,Herbie Fully Loaded,2005,"[35, 10751, 12, 14, 10749]",en,6.227,2312,5.796,50000000,144100000,100,2.0,1.0
Madagascar,953,Madagascar,2005,"[10751, 16, 12, 35]",en,15.235,11011,6.908,75000000,542064525,86,520.0,0.5
Mean Girls,10625,Mean Girls,2004,"[18, 35]",en,12.759,8916,7.2,17000000,130161094,97,1756.0,3.0
Shrek,808,Shrek,2001,"[16, 35, 14, 12, 10751]",en,41.001,17468,7.748,60000000,488628188,90,520.0,3.5
La Ciénaga,58429,La Ciénaga,2001,"[18, 35]",es,3.565,121,6.9,0,103215,103,10046.0,2.5
Harry Potter and the Chamber of Secrets,672,Harry Potter and the Chamber of Secrets,2002,"[12, 14]",en,21.595,22359,7.7,100000000,876688482,161,174.0,3.0
Harry Potter and the Prisoner of Azkaban,673,Harry Potter and the Prisoner of Azkaban,2004,"[12, 14]",en,18.334,21942,8.012,130000000,789804554,141,174.0,3.5
Harry Potter and the Goblet of Fire,674,Harry Potter and the Goblet of Fire,2005,"[12, 14]",en,21.974,21026,7.802,150000000,895921036,157,174.0,3.0
Harry Potter and the Order of the Phoenix,675,Harry Potter and the Order of the Phoenix,2007,"[12, 14]",en,18.49,19742,7.7,150000000,938212738,138,174.0,2.0
Harry Potter and the Half-Blood Prince,767,Harry Potter and the Half-Blood Prince,2009,"[12, 14]",en,19.813,19729,7.685,250000000,933959197,153,174.0,1.5
Harry Potter and the Deathly Hallows: Part 1,12444,Harry Potter and the Deathly Hallows: Part 1,2010,"[12, 14]",en,16.495,19343,7.743,250000000,954305868,146,174.0,2.0
Harry Potter and the Deathly Hallows: Part 2,12445,Harry Potter and the Deathly Hallows: Part 2,2011,"[14, 12]",en,17.051,20863,8.088,125000000,1341511219,130,174.0,2.0
The Fast and the Furious: Tokyo Drift,9615,The Fast and the Furious: Tokyo Drift,2006,"[28, 80, 18, 53]",en,2.422,7027,6.513,85000000,158964610,104,103453.0,1.5
Monster House,9297,Monster House,2006,"[16, 35, 10751, 14]",en,10.552,4026,6.688,75000000,140175006,91,11395.0,2.5
Happy Feet,9836,Happy Feet,2006,"[16, 35, 10751]",en,8.59,5154,6.198,100000000,384335608,108,2537.0,1.5
Flushed Away,11619,Flushed Away,2006,"[12, 16, 35, 10751]",en,6.879,3841,6.3,149000000,178120010,84,521.0,2.5
Spider-Man 3,559,Spider-Man 3,2007,"[28, 12, 878]",en,11.927,14320,6.433,258000000,894983373,139,326.0,1.0
I Now Pronounce You Chuck & Larry,3563,I Now Pronounce You Chuck & Larry,2007,"[35, 10749]",en,11.457,2368,6.069,85000000,187134117,115,33.0,1.5
The Simpsons Movie,35,The Simpsons Movie,2007,"[16, 35, 10751]",en,9.019,8085,7.009,75000000,527068851,87,18.0,2.5
Bee Movie,5559,Bee Movie,2007,"[10751, 16, 12, 35]",en,9.356,4910,6.023,150000000,287594577,91,1903.0,1.0
Meet Dave,11260,Meet Dave,2008,"[35, 878, 12, 10751]",en,3.997,1447,5.279,60000000,50650079,90,444.0,0.5
Journey to the Center of the Earth,88751,Journey to the Center of the Earth,2008,"[28, 878, 12, 35, 10751]",en,6.076,4858,6.078,45000000,101702060,93,12.0,2.5
Superhero Movie,11918,Superhero Movie,2008,"[35, 28, 878]",en,4.088,1849,5.255,35000000,71571300,82,7405.0,2.0
Paranormal Activity,23827,Paranormal Activity,2007,"[27, 9648]",en,5.311,5089,6.01,215000,193355800,86,3172.0,0.5
The Game Plan,13680,The Game Plan,2007,"[35, 10751]",en,5.165,2071,6.5,22000000,147880543,110,80510.0,1.5
Monsters vs Aliens,15512,Monsters vs Aliens,2009,"[16, 10751, 12, 878]",en,8.036,4679,6.2,175000000,381509870,94,521.0,2.5
